DonorID,FirstName,LastName,Email,Phone,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore,Year,Month,Segment
D00054,Sharon,Clark,david59@jensen.com,4157584276,Lake Erictown,RI,80169,2023-01-30,22,4219.59,No,90,2023,1,Low Value
D00055,Deborah,Jennings,vmccoy@yahoo.com,612.779.3333x56942,North Deborah,AK,22809,2022-10-27,10,12816.27,No,98,2022,10,Medium Value
D00056,Chelsea,Marsh,ugraves@gmail.com,1844576616,Johnberg,IL,72557,2023-06-30,7,12194.62,Yes,10,2023,6,Medium Value
D00057,George,Barron,paulawatkins@craig-chavez.com,001-295-064-1031x841,North Matthewton,GA,89537,2023-05-13,21,15634.79,No,23,2023,5,High Value
D00058,Jessica,Gomez,williamchapman@gmail.com,+1-732-652-3465x5461,Port Scottfurt,NM,25109,2023-06-26,15,23655.75,No,51,2023,6,High Value
D00059,Frank,Montes,trevor09@merritt.biz,(038)467-2644,Mitchellport,LA,52827,2022-09-13,15,14502.69,Yes,24,2022,9,Medium Value
D00060,Noah,Ramirez,patrick22@gmail.com,+1-019-892-8914x35354,North Jennifermouth,LA,69186,2024-11-06,4,13514.63,No,13,2024,11,Medium Value
D00061,Veronica,Johnson,kstone@edwards.com,(562)860-7813,South Jasonhaven,MN,16666,2022-05-26,23,1277.07,No,29,2022,5,Low Value
D00062,Danielle,Terrell,kgonzales@yahoo.com,475.134.0749x18505,Christopherfort,PA,35657,2024-05-11,23,1591.43,No,58,2024,5,Low Value
D00063,Angela,Sims,middletonelizabeth@gmail.com,001-824-055-4651x206,Anthonyburgh,GA,5447,2024-12-28,6,4699.92,No,91,2024,12,Low Value
D00064,Gabrielle,Kirby,andrearomero@johnson.net,+1-061-195-9737x253,South Tina,NM,36736,2023-11-28,24,831.12,Yes,95,2023,11,Low Value
D00065,Megan,Duncan,freemanlynn@harris-mcmahon.org,3158464394,Lake Dale,VA,94833,2023-08-05,20,18588.96,No,43,2023,8,High Value
D00066,Kimberly,Price,dmeyer@yahoo.com,280-540-0923x195,Andrewsberg,MN,66074,2023-12-30,26,18088.79,Yes,10,2023,12,High Value
D00067,Jeremy,Larson,wallaceryan@miller-taylor.com,7873053900,West Jessica,ND,9933,2023-09-14,5,3418.68,No,31,2023,9,Low Value
D00068,Antonio,Hancock,linda31@moore-rogers.info,432.926.2055,New George,IA,81379,2024-02-13,20,20905.25,No,74,2024,2,High Value
D00069,Leslie,Walton,patricia06@randolph.com,001-556-284-9756x57833,North Beverly,NV,56167,2023-05-16,12,3886.56,Yes,88,2023,5,Low Value
D00070,Joseph,Thornton,averycourtney@taylor.com,+1-399-431-0951x888,East Melanie,GA,27750,2023-04-05,1,7543.37,Yes,97,2023,4,Medium Value
D00071,Jason,Edwards,theodore72@crawford.com,(787)828-0957x283,Lake Anthonyburgh,CO,67648,2023-04-06,28,6239.44,No,14,2023,4,Low Value
D00072,Sherri,Johnson,hamiltontravis@clark.com,+1-783-018-9865x984,East Curtismouth,OK,67784,2022-09-29,8,9320.23,No,99,2022,9,Medium Value
D00073,Nancy,Gutierrez,danawashington@hotmail.com,(074)562-5670x3271,Kellyburgh,MO,31061,2024-08-10,1,6381.5,Yes,34,2024,8,Low Value
D00074,Leonard,Crawford,mary47@robles-myers.com,-2729,Smithtown,WI,3226,2022-05-10,5,12233.99,No,17,2022,5,Medium Value
D00075,Diana,Young,colin14@yahoo.com,+1-207-520-4690x74390,Markmouth,OH,5583,2024-01-11,22,10197.05,Yes,21,2024,1,Medium Value
D00076,Randall,Hayes,john61@gmail.com,+1-648-477-3920x2444,Heidiborough,WI,25169,2024-09-29,6,24664.51,Yes,96,2024,9,High Value
D00077,Robin,Sampson,donna56@hotmail.com,7319718901,Port Susanbury,LA,71724,2022-04-23,29,1417.04,No,67,2022,4,Low Value
D00078,Stephen,Robinson,flarsen@jenkins.net,203-672-9169,North Emily,IA,42721,2022-08-30,21,3571.69,Yes,58,2022,8,Low Value
D00079,Joseph,Turner,xbrown@green-stewart.biz,+1-426-166-6471x0793,North Stephen,AZ,86350,2023-11-19,3,1339.59,No,79,2023,11,Low Value
D00080,John,Rodriguez,dross@yahoo.com,(275)652-0831x300,Frankmouth,VT,60080,2022-09-24,15,15653.51,No,8,2022,9,High Value
D00081,Anna,Glover,matthewcardenas@yahoo.com,618-321-5290,Johnton,IN,48882,2023-07-03,5,1381.64,No,96,2023,7,Low Value
D00082,Jose,Strickland,kwalker@hotmail.com,7416643086,Dayborough,CA,76767,2023-04-09,28,20914.26,No,38,2023,4,High Value
D00083,Brenda,Gentry,gouldchristina@anderson-fernandez.com,4283167232,Maryburgh,AK,64719,2024-06-04,24,12808.23,No,26,2024,6,Medium Value
D00084,Rachael,Wallace,deleonmathew@yahoo.com,644-710-6060x6737,Rodriguezbury,MO,47697,2022-04-26,14,13184.65,No,64,2022,4,Medium Value
D00085,Reginald,Johnson,stonemichael@galloway.biz,889.214.1810x072,Stanleymouth,CT,18869,2023-11-19,18,14048.63,No,30,2023,11,Medium Value
D00086,Jeffrey,Webb,laurie55@lewis-quinn.com,+1-084-798-0117x056,East Davidport,DC,58442,2022-08-15,16,4286.93,No,9,2022,8,Low Value
D00087,Whitney,Porter,fischeralisha@sanders.com,765-857-5790x336,Joelland,WI,53771,2022-06-26,6,4958.3,No,32,2022,6,Low Value
D00088,William,Lee,crystalwatts@nelson.biz,+1-759-479-1099x9937,Ashleyport,AR,29581,2024-12-21,25,7984.06,Yes,11,2024,12,Medium Value
D00089,Christopher,Mclean,lorettamcdowell@gmail.com,486.523.0804x53343,Peterschester,OR,98426,2024-05-29,24,14845.54,No,86,2024,5,Medium Value
D00090,Brandon,Oconnor,wagnerjade@perry.org,4982070002,Blevinsborough,KS,37778,2023-05-18,14,5268.74,No,34,2023,5,Low Value
D00091,Daniel,Mills,fitzgeraldlaura@decker.com,(755)475-3964x1638,East Jacobfurt,FL,73397,2024-02-08,27,2925.97,No,18,2024,2,Low Value
D00092,Courtney,Rowe,turnerstephen@gmail.com,(511)723-0358,West Michaelton,NM,53804,2022-09-23,24,24253.52,No,19,2022,9,High Value
D00093,Laura,Thomas,bbennett@gmail.com,(172)633-0804,West Joshua,OH,59415,2022-04-26,8,569.11,No,54,2022,4,Low Value
D00094,Robert,Wiggins,ehoffman@velez-ferguson.com,-3278,New Sarahport,CO,87923,2024-03-29,29,20071.38,No,82,2024,3,High Value
D00095,Bryan,Short,kaiserjessica@yahoo.com,430-657-7211x2716,Charlesshire,NH,72483,2022-06-04,7,19705.12,Yes,37,2022,6,High Value
D00096,Patrick,Hurley,bwalker@wise-west.info,109.817.6635x21526,Lake Christymouth,WY,3498,2023-10-04,8,7444.41,No,82,2023,10,Medium Value
D00097,Wendy,Rhodes,martin11@jackson.com,371.107.0686x8646,Williamsmouth,NM,29918,2023-07-08,13,3407.95,Yes,12,2023,7,Low Value
D00098,Allison,Anderson,richardmassey@sharp.info,001-414-735-9468x9537,South Jason,UT,17400,2025-01-29,6,3657.8,No,4,2025,1,Low Value
D00099,Tasha,Hardy,vcollins@gmail.com,252-577-6899x7739,South Joshua,WV,63117,2022-12-20,18,17441.84,No,43,2022,12,High Value
D00100,Michelle,Stevens,hannah96@adams.net,(166)032-3701x409,West Anna,TX,50819,2023-03-05,2,16077.31,Yes,27,2023,3,High Value
D00101,Alexander,Reeves,pedwards@gmail.com,(071)519-9632x304,New Robert,IN,64304,2022-04-05,8,19572.99,Yes,51,2022,4,High Value
D00102,Jennifer,Boyd,gfletcher@hotmail.com,725.961.1595x3384,Anthonyshire,TN,33521,2023-02-20,11,23438.28,No,5,2023,2,High Value
D00103,Erin,Smith,simmonschris@sherman.net,629-062-8815,Lake Rebecca,OR,38078,2024-02-07,1,17304.35,Yes,6,2024,2,High Value
D00104,Amanda,Randolph,jameskane@williams.info,001-660-309-8051x8343,Marktown,NY,40696,2025-02-16,22,3913.17,Yes,77,2025,2,Low Value
D00105,Joseph,Mcdaniel,jtaylor@ross-phillips.biz,936-356-8087x793,Bartlettview,NC,63381,2023-05-07,29,6101.2,No,87,2023,5,Low Value
D00106,Danielle,Wheeler,alexandra95@hotmail.com,724-416-7621x8743,Jenkinsmouth,KY,47500,2025-03-16,6,21058.0,Yes,56,2025,3,High Value
D00107,Daniel,Miller,kellycohen@crane.info,9647429326,New Raymond,WY,95406,2023-02-28,16,5248.47,No,89,2023,2,Low Value
D00108,Ryan,Owens,sharonho@hotmail.com,348.709.2951x62890,Lake Amy,RI,19671,2022-12-21,27,1831.61,No,68,2022,12,Low Value
D00109,Shawn,Williams,alicecalderon@stewart.com,-4052,Jamesview,OR,65063,2024-03-21,20,17587.94,Yes,96,2024,3,High Value
D00110,Stephanie,Meyer,holderadam@hotmail.com,125.812.8766,Mortonchester,MA,14318,2023-09-02,12,10075.11,No,44,2023,9,Medium Value
D00111,Nancy,Hopkins,heathermedina@davis-weber.org,404.197.4476,North Lanceview,SC,9491,2023-03-01,11,23002.6,No,15,2023,3,High Value
D00112,Jose,Edwards,bellangie@cooper.com,224-696-8516x92175,New Jeffrey,MI,87756,2022-08-14,29,16263.37,No,90,2022,8,High Value
D00113,Vincent,Lane,lori69@hotmail.com,713-528-4547,Anthonyhaven,VA,87333,2024-03-12,27,2278.67,No,42,2024,3,Low Value
D00114,Guy,Collins,claudia64@hotmail.com,5005745807,Leonardview,MO,27937,2022-09-01,29,23697.46,No,11,2022,9,High Value
D00115,Rita,Mcclain,watkinsdakota@ramirez.org,(648)784-1383x12760,Emilychester,HI,1771,2024-03-11,10,6478.76,No,73,2024,3,Low Value
D00116,Monica,Flores,lauramatthews@rivera-ingram.org,833.594.8224x5248,Martinezview,VT,27109,2022-06-27,3,8443.57,Yes,11,2022,6,Medium Value
D00117,Kenneth,Lee,aclark@gmail.com,-4688,New Emilymouth,KY,64050,2023-09-13,13,10068.47,Yes,66,2023,9,Medium Value
D00118,Danielle,Hill,noblechristina@martin.com,001-546-141-1910x147,Ericside,TX,79428,2023-02-11,27,1299.58,No,27,2023,2,Low Value
D00119,Chelsea,Flores,taylorlindsay@ortega-murphy.net,912.983.5844,South Christopherchester,CA,12322,2024-02-21,3,12422.96,Yes,58,2024,2,Medium Value
D00120,Eric,Alexander,annbennett@mccarthy-kelly.net,-3553,Jamieland,MI,83590,2022-08-26,15,3100.5,No,90,2022,8,Low Value
D00121,Kathryn,Wilson,waremegan@gmail.com,685-390-9174x47940,Bowmanshire,DC,43192,2023-07-08,16,10036.24,No,72,2023,7,Medium Value
D00122,Amber,Hernandez,marycastro@yahoo.com,030.892.2906x41996,North Troyfort,FL,94823,2024-06-02,29,8780.73,Yes,21,2024,6,Medium Value
D00123,Kimberly,Hill,grantryan@yahoo.com,840-293-7645x26587,Burgessport,OR,40033,2024-05-05,13,19325.55,No,21,2024,5,High Value
D00124,Alyssa,Smith,clinemelissa@reed.com,(802)386-5626,Collinsfurt,NH,29236,2023-06-06,17,20083.2,Yes,72,2023,6,High Value
D00125,Aaron,Dean,harold03@yahoo.com,805980188,Alejandrahaven,CA,79826,2022-11-04,3,3852.25,No,1,2022,11,Low Value
D00126,Mario,Palmer,adamcollins@gmail.com,003.005.3782x86872,Cassandraland,MO,14723,2024-03-27,20,9176.45,No,58,2024,3,Medium Value
D00127,Andrew,Clark,wesley09@yahoo.com,001-203-071-0816x9223,Troyside,CO,15779,2022-04-30,11,9346.36,No,13,2022,4,Medium Value
D00128,Sarah,Bell,darlene60@padilla.org,001-976-621-5415x198,Scottview,AR,44041,2024-12-05,27,3802.23,No,73,2024,12,Low Value
D00129,Natasha,Flores,oosborn@henry-wells.net,7027292942,New Kaylaburgh,CT,67655,2023-10-29,21,19965.37,Yes,92,2023,10,High Value
D00130,Marie,Thomas,woodchloe@hernandez.com,+1-863-583-4926x38987,Hillborough,ND,75003,2023-08-26,19,17686.56,No,6,2023,8,High Value
D00131,Kyle,Bush,hflowers@ramos.com,+1-495-591-0923x3558,Jensenton,DE,99413,2023-08-05,22,4775.74,No,87,2023,8,Low Value
D00132,Brian,Campbell,hodgejoshua@gmail.com,572.834.6389x16190,Lake Nathan,MD,5418,2022-08-23,11,9180.71,No,100,2022,8,Medium Value
D00133,Natalie,Sanchez,mary52@bowen.biz,(587)530-2961x499,Kimberlyburgh,WA,72251,2022-06-06,28,2663.01,No,58,2022,6,Low Value
D00134,Stacey,Jones,brownmandy@hotmail.com,+1-094-167-9520x27989,Bryanchester,WI,64718,2025-01-26,16,15712.6,No,17,2025,1,High Value
D00135,Christopher,Austin,christopher70@franklin-barker.biz,+1-145-481-1891x72845,East Lorimouth,SD,39020,2024-07-23,21,3051.87,No,73,2024,7,Low Value
D00136,Todd,Morgan,collinsann@peterson.com,487.494.0092x62886,Anthonymouth,VA,15276,2023-11-23,3,24648.64,No,12,2023,11,High Value
D00137,Chad,Wallace,wilsonchristopher@hotmail.com,(807)200-8057x019,Michaelshire,MT,9321,2025-02-23,22,19521.44,Yes,86,2025,2,High Value
D00138,Kathleen,Anderson,lonniesims@wang.com,435.752.9255x5680,West Wendy,IL,56692,2023-07-23,6,9768.16,No,52,2023,7,Medium Value
D00139,Katie,Ruiz,umiller@gmail.com,001-846-900-1581x236,Williamsport,TX,9771,2023-06-15,14,14472.53,No,76,2023,6,Medium Value
D00140,David,Lowe,julierojas@yahoo.com,(424)947-0025,North Michaelhaven,WV,88330,2024-04-12,24,22785.32,No,70,2024,4,High Value
D00141,Thomas,Rodriguez,lmccarthy@taylor-stewart.com,906-724-4609,West Christie,MO,26436,2022-08-01,18,13861.4,Yes,73,2022,8,Medium Value
D00142,Andrea,Brown,nicole24@wolfe-baker.info,(772)487-7476x308,East Brian,FL,39960,2023-09-12,17,4378.97,No,52,2023,9,Low Value
D00143,Joseph,Simmons,michael87@hotmail.com,572.890.9100,Port Scott,MI,47476,2023-03-22,4,9480.01,Yes,37,2023,3,Medium Value
D00144,Monique,White,herringbrenda@medina.biz,001-634-741-8042x022,Davidburgh,NY,50844,2024-12-23,23,21081.76,No,3,2024,12,High Value
D00145,Rodney,Carlson,jared88@hotmail.com,059.757.3368,Maciasland,PA,87461,2024-11-13,15,16112.44,No,98,2024,11,High Value
D00146,Jason,Watkins,palmerjason@gmail.com,001-287-657-5552x58685,Melissafort,GA,4698,2024-09-15,11,16275.1,No,8,2024,9,High Value
D00147,Amber,Huff,anthony18@hotmail.com,(850)664-8782x6487,Piercefurt,NJ,28854,2023-08-15,26,21673.2,No,10,2023,8,High Value
D00148,Jessica,Lyons,ltaylor@watson-gray.org,300-025-5464,East Helenton,MD,10112,2022-11-09,3,22351.45,Yes,47,2022,11,High Value
D00149,James,Jensen,jacqueline50@fisher.com,334-798-5294x84470,West Annburgh,ID,60504,2023-12-21,3,22996.42,Yes,41,2023,12,High Value
D00150,Larry,Edwards,robintorres@payne-walton.info,145-056-3370x6951,Williamsmouth,NJ,13014,2023-05-01,16,2389.33,No,64,2023,5,Low Value
D00151,Wanda,Roth,esimon@gmail.com,819-613-8759,East Andrew,LA,30149,2024-08-11,5,13612.27,Yes,42,2024,8,Medium Value
D00152,Debra,Marquez,carolyn76@yahoo.com,(594)229-8133x241,Port Davidview,NE,58008,2023-03-19,21,18517.93,No,43,2023,3,High Value
D00153,Samuel,Lambert,kathrynsantana@rodriguez.org,+1-977-118-0167x743,South Cynthia,DC,53433,2023-03-02,29,18928.03,Yes,9,2023,3,High Value
D00154,Zachary,Ferguson,martingarrett@yahoo.com,(048)909-8592x7143,South John,MT,1185,2022-08-11,10,15175.77,No,14,2022,8,High Value
D00155,David,Beltran,davidcook@waller.com,+1-694-749-3476x88938,South Charles,KS,23007,2023-11-25,19,4186.35,No,91,2023,11,Low Value
D00156,Jeffrey,Campos,dfoster@gmail.com,(161)877-6458x08431,Stevetown,ME,23824,2023-11-06,25,19939.57,No,96,2023,11,High Value
D00157,Matthew,Owens,nicoleturner@lopez.biz,+1-652-179-0053x126,Larsonbury,MT,13662,2022-07-04,4,18008.38,No,4,2022,7,High Value
D00158,Brianna,Anderson,ericpeters@smith-moore.com,5574028459,Garciaburgh,CO,23936,2024-04-12,29,2171.67,No,2,2024,4,Low Value
D00159,Jerry,Hess,ehale@hotmail.com,(876)955-9126x813,New Jeffreymouth,NE,95816,2025-01-20,29,11605.97,No,97,2025,1,Medium Value
D00160,Jeffrey,Gillespie,wmccarthy@gmail.com,7837318359,New Joshua,FL,92755,2023-07-01,19,4365.96,No,85,2023,7,Low Value
D00161,Chad,Mcdonald,lucasmcconnell@yahoo.com,123-459-2325x8024,South Jeffrey,NY,36553,2022-06-30,11,8450.18,No,1,2022,6,Medium Value
D00162,Crystal,Bryant,lori69@yahoo.com,(571)162-7435x149,South Julieside,MO,3133,2023-05-21,2,471.67,No,75,2023,5,Low Value
D00163,Jeremy,Cohen,tracy90@blackwell.com,(863)270-2317,Port Markhaven,NC,45608,2024-10-29,10,10020.24,Yes,65,2024,10,Medium Value
D00164,Rebecca,Mckinney,matthew09@hotmail.com,028-106-0763x443,Lake Kaylaview,UT,51063,2025-01-14,29,13755.93,No,46,2025,1,Medium Value
D00165,Michele,Marshall,brewerdevin@gmail.com,460.263.3564,Lewisfort,ID,40106,2024-11-09,11,15497.17,Yes,59,2024,11,High Value
D00166,Chad,Hall,kevindavis@valdez-simmons.com,629-870-2521,Lake Garyton,KY,84953,2022-10-30,25,16593.99,No,75,2022,10,High Value
D00167,John,Walker,eleonard@gmail.com,(143)517-2368x504,Lake Greggtown,VA,57053,2023-06-27,20,20910.56,No,7,2023,6,High Value
D00168,Elizabeth,Callahan,zwhite@hotmail.com,001-485-260-2354x7224,Lake Whitneymouth,SD,39254,2023-12-20,16,5402.26,Yes,66,2023,12,Low Value
D00169,Jason,Jensen,wdrake@oconnor.com,5530611390,New Cathyhaven,HI,87323,2023-06-16,19,3029.64,Yes,15,2023,6,Low Value
D00170,David,Durham,david86@gibson.biz,4589275234,South Julia,NM,26886,2024-02-09,23,21291.4,Yes,72,2024,2,High Value
D00171,Selena,Myers,turnerjonathan@hotmail.com,8705683355,Russellmouth,RI,27625,2022-06-29,24,3932.19,No,47,2022,6,Low Value
D00172,Ashley,Lyons,xshaw@joseph-richard.com,(638)598-1828x439,Bridgeston,CT,33021,2022-10-25,11,24369.51,No,90,2022,10,High Value
D00173,Thomas,Ortega,tinaschmidt@berg-miller.com,001-748-698-0055,Rachelside,WA,83059,2022-08-23,14,21066.6,No,40,2022,8,High Value
D00174,Kristen,Mccormick,james97@yahoo.com,338.079.2660x9404,Alexanderside,WY,66794,2022-10-28,2,12531.9,No,42,2022,10,Medium Value
D00175,Lindsey,Khan,hcampbell@stevens-williams.org,750-175-0566x558,Michellebury,NV,39320,2023-02-09,23,24535.91,No,51,2023,2,High Value
D00176,James,Chavez,ronald40@hotmail.com,+1-906-586-9722x324,Ruizland,AK,77880,2024-11-27,28,2452.47,Yes,35,2024,11,Low Value
D00177,Collin,Johnson,kellybutler@yahoo.com,(043)006-3191,Priceborough,TX,82126,2023-04-09,5,7590.58,No,41,2023,4,Medium Value
D00178,Ryan,Alvarez,cynthia91@yahoo.com,6971363591,Thomashaven,KS,48872,2024-01-07,27,15962.85,Yes,85,2024,1,High Value
D00179,Rodney,Bell,fwright@davis.biz,001-142-028-6122x32861,West Gregory,AR,87397,2024-01-21,5,8763.17,Yes,57,2024,1,Medium Value
D00180,Stuart,Murray,teresa93@hotmail.com,024-542-2492x243,Port Meganland,VA,44709,2022-12-20,19,23210.75,Yes,38,2022,12,High Value
